"Status","Date and Time","Response Time (ms)","Error","Location"
"unconfirmed_down","10/02/2014 05:09:51AM","","Network error","Vienna (Austria)"
"up","10/02/2014 05:04:51AM","416 ms","OK","Charlotte (NC)"
"up","10/02/2014 04:59:51AM","453 ms","OK","Philadelphia (PA)"
"up","10/02/2014 04:54:51AM","345 ms","OK","Toronto 4 (Canada)"
"up","10/02/2014 04:49:51AM","499 ms","OK","Las Vegas 3 (NV)"
"down","10/02/2014 04:44:51AM","","Network error","Amsterdam 3 (Netherlands)"
"down","10/02/2014 04:40:27AM","","Network error","Amsterdam 3 (Netherlands)"
"unconfirmed_down","10/02/2014 04:39:51AM","","Timeout (> 30s)","Strasbourg (France)"
"up","10/02/2014 04:34:51AM","316 ms","OK","New York (NY)"
"up","10/02/2014 04:29:51AM","464 ms","OK","Seattle (WA)"
"up","10/02/2014 04:25:18AM","429 ms","OK","Charlotte (NC)"
"unconfirmed_down","10/02/2014 04:24:51AM","","Network error","Vienna (Austria)"
"up","10/02/2014 04:19:52AM","410 ms","OK","Charlotte (NC)"
"up","10/02/2014 04:14:51AM","1,157 ms","OK","Philadelphia (PA)"
"up","10/02/2014 04:09:51AM","363 ms","OK","Toronto 4 (Canada)"
"up","10/02/2014 04:04:51AM","453 ms","OK","Las Vegas 3 (NV)"
"up","10/02/2014 04:00:18AM","438 ms","OK","Toronto 4 (Canada)"
"unconfirmed_down","10/02/2014 03:59:51AM","","Network error","Amsterdam 3 (Netherlands)"
"up","10/02/2014 03:55:27AM","433 ms","OK","Las Vegas 3 (NV)"
"unconfirmed_down","10/02/2014 03:54:51AM","","Timeout (> 30s)","Strasbourg (France)"
"up","10/02/2014 03:49:51AM","375 ms","OK","New York (NY)"
"up","10/02/2014 03:44:51AM","1,382 ms","OK","Seattle (WA)"
"down","10/02/2014 03:40:20AM","","Timeout (> 30s)","Strasbourg (France)"
"unconfirmed_down","10/02/2014 03:39:51AM","","Network error","Vienna (Austria)"
"up","10/02/2014 03:34:51AM","401 ms","OK","Charlotte (NC)"
"up","10/02/2014 03:29:51AM","1,329 ms","OK","Philadelphia (PA)"
"up","10/02/2014 03:24:51AM","928 ms","OK","Toronto 4 (Canada)"
"up","10/02/2014 03:19:51AM","426 ms","OK","Las Vegas 3 (NV)"
"down","10/02/2014 03:14:51AM","","Network error","Amsterdam 3 (Netherlands)"
"down","10/02/2014 03:10:29AM","","Network error","Amsterdam 3 (Netherlands)"
"unconfirmed_down","10/02/2014 03:09:51AM","","Timeout (> 30s)","Strasbourg (France)"
"up","10/02/2014 03:04:51AM","452 ms","OK","New York (NY)"
"up","10/02/2014 02:59:51AM","1,544 ms","OK","Seattle (WA)"
"down","10/02/2014 02:55:17AM","","Timeout (> 30s)","Strasbourg (France)"
"unconfirmed_down","10/02/2014 02:54:51AM","","Network error","Vienna (Austria)"
"up","10/02/2014 02:49:51AM","548 ms","OK","Charlotte (NC)"
"up","10/02/2014 02:44:51AM","410 ms","OK","Philadelphia (PA)"
"up","10/02/2014 02:39:51AM","463 ms","OK","Toronto 4 (Canada)"
"up","10/02/2014 02:34:51AM","1,526 ms","OK","Las Vegas 3 (NV)"
"down","10/02/2014 02:29:52AM","","Network error","Amsterdam 3 (Netherlands)"
"down","10/02/2014 02:25:27AM","","Network error","Vienna (Austria)"
"unconfirmed_down","10/02/2014 02:24:51AM","","Timeout (> 30s)","Strasbourg (France)"
"up","10/02/2014 02:19:51AM","1,322 ms","OK","New York (NY)"
"up","10/02/2014 02:14:51AM","502 ms","OK","Seattle (WA)"
"up","10/02/2014 02:10:20AM","466 ms","OK","Philadelphia (PA)"
"unconfirmed_down","10/02/2014 02:09:51AM","","Network error","Vienna (Austria)"
"up","10/02/2014 02:04:51AM","498 ms","OK","Charlotte (NC)"
"up","10/02/2014 01:59:51AM","437 ms","OK","Philadelphia (PA)"
"up","10/02/2014 01:54:51AM","467 ms","OK","Toronto 4 (Canada)"
"up","10/02/2014 01:49:51AM","1,639 ms","OK","Las Vegas 3 (NV)"
"up","10/02/2014 01:45:17AM","718 ms","OK","Las Vegas 3 (NV)"
"unconfirmed_down","10/02/2014 01:44:51AM","","Network error","Amsterdam 3 (Netherlands)"
"up","10/02/2014 01:40:27AM","476 ms","OK","Toronto 4 (Canada)"
"unconfirmed_down","10/02/2014 01:39:51AM","","Timeout (> 30s)","Strasbourg (France)"
"up","10/02/2014 01:34:51AM","508 ms","OK","New York (NY)"
"up","10/02/2014 01:29:51AM","568 ms","OK","Seattle (WA)"
"down","10/02/2014 01:25:21AM","","Timeout (> 30s)","Strasbourg (France)"
"unconfirmed_down","10/02/2014 01:24:51AM","","Network error","Vienna (Austria)"
"up","10/02/2014 01:19:51AM","1,496 ms","OK","Charlotte (NC)"
"up","10/02/2014 01:14:51AM","465 ms","OK","Philadelphia (PA)"
"up","10/02/2014 01:09:51AM","1,164 ms","OK","Toronto 4 (Canada)"
"up","10/02/2014 01:04:51AM","534 ms","OK","Las Vegas 3 (NV)"
"up","10/02/2014 01:00:17AM","514 ms","OK","Seattle (WA)"
"unconfirmed_down","10/02/2014 12:59:51AM","","Network error","Amsterdam 3 (Netherlands)"
"up","10/02/2014 12:55:30AM","1,177 ms","OK","Philadelphia (PA)"
