"Status","Date and Time","Response Time (ms)","Error","Location"
"up","09/02/2014 07:39:51AM","701 ms","OK","Strasbourg (France)"
"up","09/02/2014 07:34:51AM","400 ms","OK","New York (NY)"
"up","09/02/2014 07:29:51AM","891 ms","OK","Seattle (WA)"
"up","09/02/2014 07:24:51AM","1,849 ms","OK","Vienna (Austria)"
"up","09/02/2014 07:19:51AM","1,413 ms","OK","Charlotte (NC)"
"up","09/02/2014 07:14:51AM","524 ms","OK","Philadelphia (PA)"
"up","09/02/2014 07:09:52AM","1,227 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 07:04:51AM","512 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 06:59:51AM","1,705 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 06:54:51AM","631 ms","OK","Strasbourg (France)"
"up","09/02/2014 06:49:51AM","375 ms","OK","New York (NY)"
"up","09/02/2014 06:44:52AM","574 ms","OK","Seattle (WA)"
"up","09/02/2014 06:39:51AM","1,789 ms","OK","Vienna (Austria)"
"up","09/02/2014 06:34:51AM","421 ms","OK","Charlotte (NC)"
"up","09/02/2014 06:29:51AM","1,700 ms","OK","Philadelphia (PA)"
"up","09/02/2014 06:24:51AM","533 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 06:19:51AM","518 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 06:14:51AM","1,501 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 06:09:51AM","645 ms","OK","Strasbourg (France)"
"up","09/02/2014 06:04:51AM","390 ms","OK","New York (NY)"
"up","09/02/2014 05:59:51AM","515 ms","OK","Seattle (WA)"
"up","09/02/2014 05:54:51AM","649 ms","OK","Vienna (Austria)"
"up","09/02/2014 05:49:51AM","422 ms","OK","Charlotte (NC)"
"up","09/02/2014 05:44:51AM","495 ms","OK","Philadelphia (PA)"
"up","09/02/2014 05:39:51AM","1,185 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 05:34:51AM","421 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 05:29:51AM","824 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 05:24:51AM","666 ms","OK","Strasbourg (France)"
"up","09/02/2014 05:19:51AM","538 ms","OK","New York (NY)"
"up","09/02/2014 05:14:51AM","567 ms","OK","Seattle (WA)"
"up","09/02/2014 05:09:51AM","624 ms","OK","Vienna (Austria)"
"up","09/02/2014 05:04:51AM","1,368 ms","OK","Charlotte (NC)"
"up","09/02/2014 04:59:51AM","568 ms","OK","Philadelphia (PA)"
"up","09/02/2014 04:54:51AM","332 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 04:49:51AM","1,673 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 04:44:51AM","581 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 04:39:51AM","1,924 ms","OK","Strasbourg (France)"
"up","09/02/2014 04:34:51AM","306 ms","OK","New York (NY)"
"up","09/02/2014 04:29:51AM","1,414 ms","OK","Seattle (WA)"
"up","09/02/2014 04:24:52AM","624 ms","OK","Vienna (Austria)"
"up","09/02/2014 04:19:51AM","1,366 ms","OK","Charlotte (NC)"
"up","09/02/2014 04:14:51AM","390 ms","OK","Philadelphia (PA)"
"up","09/02/2014 04:09:51AM","502 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 04:04:51AM","1,408 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 03:59:51AM","647 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 03:54:52AM","741 ms","OK","Strasbourg (France)"
"up","09/02/2014 03:49:51AM","1,326 ms","OK","New York (NY)"
"up","09/02/2014 03:44:51AM","494 ms","OK","Seattle (WA)"
"up","09/02/2014 03:39:51AM","700 ms","OK","Vienna (Austria)"
"up","09/02/2014 03:34:51AM","500 ms","OK","Charlotte (NC)"
"up","09/02/2014 03:29:51AM","1,370 ms","OK","Philadelphia (PA)"
"up","09/02/2014 03:24:51AM","478 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 03:19:51AM","595 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 03:14:51AM","1,451 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 03:09:51AM","683 ms","OK","Strasbourg (France)"
"up","09/02/2014 03:04:51AM","1,201 ms","OK","New York (NY)"
"up","09/02/2014 02:59:51AM","633 ms","OK","Seattle (WA)"
"up","09/02/2014 02:54:51AM","1,744 ms","OK","Vienna (Austria)"
"up","09/02/2014 02:49:51AM","1,310 ms","OK","Charlotte (NC)"
"up","09/02/2014 02:44:51AM","470 ms","OK","Philadelphia (PA)"
"up","09/02/2014 02:39:51AM","1,117 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 02:34:52AM","497 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 02:29:51AM","1,703 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 02:24:51AM","728 ms","OK","Strasbourg (France)"
"up","09/02/2014 02:19:51AM","454 ms","OK","New York (NY)"
"up","09/02/2014 02:14:51AM","727 ms","OK","Seattle (WA)"
"up","09/02/2014 02:09:51AM","614 ms","OK","Vienna (Austria)"
"up","09/02/2014 02:04:51AM","456 ms","OK","Charlotte (NC)"
"up","09/02/2014 01:59:51AM","1,311 ms","OK","Philadelphia (PA)"
"up","09/02/2014 01:54:51AM","433 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 01:49:51AM","1,435 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 01:44:51AM","658 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 01:39:51AM","775 ms","OK","Strasbourg (France)"
"up","09/02/2014 01:34:51AM","500 ms","OK","New York (NY)"
"up","09/02/2014 01:29:51AM","636 ms","OK","Seattle (WA)"
"up","09/02/2014 01:24:51AM","697 ms","OK","Vienna (Austria)"
"up","09/02/2014 01:19:51AM","574 ms","OK","Charlotte (NC)"
"up","09/02/2014 01:14:51AM","317 ms","OK","Philadelphia (PA)"
"up","09/02/2014 01:09:51AM","2,242 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 01:04:51AM","981 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 12:59:51AM","698 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 12:54:51AM","795 ms","OK","Strasbourg (France)"
"up","09/02/2014 12:49:51AM","456 ms","OK","New York (NY)"
"up","09/02/2014 12:44:51AM","532 ms","OK","Seattle (WA)"
"up","09/02/2014 12:39:51AM","782 ms","OK","Vienna (Austria)"
"up","09/02/2014 12:34:51AM","512 ms","OK","Charlotte (NC)"
"up","09/02/2014 12:29:51AM","1,325 ms","OK","Philadelphia (PA)"
"up","09/02/2014 12:24:51AM","424 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 12:19:51AM","542 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 12:14:51AM","707 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 12:09:51AM","1,742 ms","OK","Strasbourg (France)"
